APP,Applovin Corp,401.5
ARM,Arm Holdings PLC,140.89
LIN,Linde PLC,449.44
AZN,AstraZeneca PLC,68.2
BKR,Baker Hughes Co,41.31
AVGO,Broadcom Inc,179.53
BIIB,Biogen Inc,157.78
BKNG,Booking Holdings Inc,5300.34
CDNS,Cadence Design Systems Inc,307.51
ADBE,Adobe Inc.,552.96
CHTR,Charter Communications Inc,403.06
CPRT,Copart Inc,62.08
CSGP,CoStar Group Inc,77.32
CRWD,CrowdStrike Holdings Inc,365.65
CTAS,Cintas Corp,223.71
CSCO,Cisco Systems Inc,59.89
CMCSA,Comcast Corp,43.15
COST,Costco Wholesale Corp,992.61
CSX,CSX Corp,34.45
CTSH,Cognizant Technology Solutions Corp,81.14
DDOG,Datadog Inc,168.65
DXCM,Dexcom Inc,77.72
FANG,Diamondback Energy Inc,166.83
EA,Electronic Arts,167.01
ON,ON Semiconductor Corp,66.52
EXC,Exelon Corp,37.85
TTD,Trade Desk Inc,139.11
FAST,Fastenal Co,81.05
GFS,GlobalFoundries Inc,44.88
META,Meta Platforms Inc,623.77
FI,Fiserv Inc,207.28
FTNT,Fortinet Inc,99.21
GILD,Gilead Sciences Inc,92.13
GOOG,Alphabet Class C,176.49
GOOGL,Alphabet Class A,174.71
HON,Honeywell International Inc,226.38
ILMN,Illumina Inc,141.09
INTC,Intel Corp,20.92
INTU,Intuit Inc,646.47
ISRG,Intuitive Surgical Inc,550.41
MRVL,Marvell Technology Inc,113.51
IDXX,IDEXX Laboratories Inc,435.69
KDP,Keurig Dr Pepper Inc,32.72
KLAC,KLA Corp,648.34
KHC,Kraft Heinz Co,30.81
LRCX,Lam Research Corp,76.59
LULU,Lululemon Athletica Inc,399.6
MELI,MercadoLibre Inc,1947.18
MAR,Marriott International Inc,292.59
MCHP,Microchip Technology Inc,59.29
MDLZ,Mondelez International Inc,62.86
MRNA,Moderna Inc,44.44
MNST,Monster Beverage Corp,52.27
MSFT,Microsoft Corp,443.57
MU,Micron Technology Inc,101.17
NFLX,Netflix Inc,934.74
GRAL,Grail Inc,21.62
NVDA,NVIDIA Corp,142.44
NXPI,NXP Semiconductors NV,218.66
ODFL,Old Dominion Freight Line Inc,203
ORLY,Oâ€™Reilly Automotive Inc,1257.78
PCAR,Paccar Inc,115.88
PANW,Palo Alto Networks Inc,405.9
PAYX,Paychex Inc,142.86
PDD,PDD Holdings Inc,99.89
PYPL,PayPal Holdings Inc,89.88
PEP,PepsiCo Inc.,157.79
QCOM,Qualcomm Inc,159.51
REGN,Regeneron Pharmaceuticals Inc,778
ROST,Ross Stores Inc,156.48
SBUX,Starbucks Corp,100.11
SNPS,Synopsys Inc,517.28
TSLA,Tesla Inc,389.22
TXN,Texas Instruments Inc,193.1
TMUS,T-Mobile US Inc,243.78
VRSK,Verisk Analytics Inc,287.06
VRTX,Vertex Pharmaceuticals Inc,462.1
WBD,Warner Bros Discovery Inc,10.66
WDAY,Workday Inc,266.42
XEL,Xcel Energy Inc,69.74
ZS,Zscaler Inc,211.99
ADP,Automatic Data Processing Inc,304.56
ABNB,Airbnb Inc,136.92
AMD,Advanced Micro Devices Inc,138.59
CEG,Constellation Energy Corp,253.63
AMZN,Amazon.com Inc,227.03
AMGN,Amgen Inc,272.58
AEP,American Electric Power Company Inc,95.85
CDW,CDW Corp,180.06
CCEP,Coca-Cola Europacific Partners PLC,77.68
ADI,Analog Devices Inc,218.2
MDB,MongoDB Inc,343.4
DASH,DoorDash Inc,178.48
ROP,Roper Technologies Inc,551.2
ANSS,ANSYS Inc,345.3
AAPL,Apple Inc,242.84
AMAT,Applied Materials Inc,173.02
GEHC,GE Healthcare Technologies Inc,81.24
ASML,ASML Holding NV,708.98
TEAM,Atlassian Corp,278.5
ADSK,Autodesk Inc,307.71